domain,category,credibility_score,sources,iffy_factual,iffy_bias,iffy_score,tranco_rank,domain_age_years,domain_registered,factcheck_claims,safe_browsing_flagged,score_cat,score_iffy,score_tranco,score_age,score_factcheck,score_safebrowsing
100percentfedup.com,mixed,0.173,2,L,FN,0.1,196761,14.0,2012-03-13T15:59:26Z,,,0.2,0.1,0.35,0.2,0.2,0.2
10news.one,unreliable,0.09,1,L,FN,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
12minutos.com,unreliable,0.09,1,L,FN,0.1,,18.1,2008-01-13T13:49:04Z,,,0.1,0.1,0.1,0.1,0.1,0.1
163.com,unreliable,0.105,1,M,FN,0.2,426,28.5,1997-09-15T04:00:00Z,,,0.1,0.2,0.1,0.1,0.1,0.1
16wmpo.com,fake,0.045,1,,,,,8.0,2018-03-03T19:22:21Z,,,0.05,0.05,0.05,0.05,0.05,0.05
1tv.ru,unreliable,0.105,1,M,FN,0.2,5663,,,,,0.1,0.2,0.1,0.1,0.1,0.1
2020conservative.com,unreliable,0.075,1,VL,FN,0.0,,6.4,2019-10-03T19:08:20Z,0,,0.1,0.0,0.1,0.1,0.1,0.1
2020electioncenter.com,unreliable,0.08,1,VL,CP,0.0,,1.3,2024-11-12T19:45:24Z,,,0.1,0.0,0.1,0.2,0.1,0.1
21stcenturywire.com,conspiracy,0.118,2,M,CP,0.2,161304,16.3,2009-11-03T10:46:36Z,,,0.1,0.2,0.35,0.1,0.1,0.1
24jours.com,unreliable,0.09,1,L,FN,0.1,,8.4,2017-09-25T14:00:15Z,,,0.1,0.1,0.1,0.1,0.1,0.1
24newsflash.com,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
24wpn.com,fake,0.045,1,,,,,2.8,2023-05-15T04:57:03Z,,,0.05,0.05,0.05,0.05,0.05,0.05
365usanews.com,mixed,0.18,1,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2
369news.net,unreliable,0.105,1,M,CP,0.2,,10.4,2015-10-22T13:25:17Z,,,0.1,0.2,0.1,0.1,0.1,0.1
4chan.org,unreliable,0.075,1,VL,FN,0.0,5692,22.0,2004-02-14T15:46:26.388Z,,,0.1,0.0,0.1,0.1,0.1,0.1
4threvolutionarywar.wordpress.com,mixed,0.18,1,,,,,26.0,2000-03-03T12:13:23Z,,,0.2,0.2,0.2,0.2,0.2,0.2
70news.wordpress.com,fake,0.045,1,,,,,26.0,2000-03-03T12:13:23Z,,,0.05,0.05,0.05,0.05,0.05,0.05
79days.news,unreliable,0.075,1,VL,CP,0.0,,5.3,2020-11-04T16:38:23.137Z,,,0.1,0.0,0.1,0.1,0.1,0.1
82.221.129.208,conspiracy,0.09,1,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
911truth.org,unreliable,0.103,1,L,CP,0.1,384587,23.1,2003-01-14T03:26:01.739Z,,,0.1,0.1,0.35,0.1,0.1,0.1
9gag.com,unreliable,0.105,1,M,FN,0.2,5672,17.9,2008-04-12T06:20:03Z,,,0.1,0.2,0.1,0.1,0.1,0.1
aanirfan.blogspot.co.uk,unreliable,0.09,1,,,,,16.6,2009-08-02T18:43:53Z,,,0.1,0.1,0.1,0.1,0.1,0.1
aapsonline.org,unreliable,0.103,1,L,FN,0.1,189632,27.3,1998-10-27T05:00:00.281Z,,,0.1,0.1,0.35,0.1,0.1,0.1
aattp.org,unreliable,0.09,1,L,FN,0.1,,5.0,2021-02-19T14:30:10.325Z,,,0.1,0.1,0.1,0.1,0.1,0.1
abcbusinessnews.com,unreliable,0.075,1,VL,FN,0.0,,18.5,2007-09-19T00:13:26Z,,,0.1,0.0,0.1,0.1,0.1,0.1
abcnews.com.co,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
abcnewsgo.co,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
abeldanger.net,conspiracy,0.095,1,,,,,1.6,2024-07-30T18:17:23Z,,,0.1,0.1,0.1,0.2,0.1,0.1
abovetopsecret.com,conspiracy,0.095,2,L,CP,0.1,58458,28.8,1997-05-18T04:00:00Z,,,0.1,0.1,0.2,0.1,0.1,0.1
abqtimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:47Z,,,0.1,0.2,0.1,0.1,0.1,0.1
abriluno.com,satire,0.27,1,,,,,12.1,2014-01-14T18:07:09Z,,,0.3,0.3,0.3,0.3,0.3,0.3
acallforanuprising.com,unreliable,0.09,1,L,CP,0.1,,11.1,2015-02-09,0,,0.1,0.1,0.1,0.1,0.1,0.1
aceflashman.wordpress.com,satire,0.27,1,,,,,26.0,2000-03-03T12:13:23Z,,,0.3,0.3,0.3,0.3,0.3,0.3
acpeds.org,unreliable,0.103,1,L,FN,0.1,272853,23.5,2002-09-10T13:47:41.913Z,,,0.1,0.1,0.35,0.1,0.1,0.1
actforamerica.org/news,unreliable,0.135,1,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15
acting-man.com,unreliable,0.105,2,M,FN,0.2,,21.1,2005-01-06T12:12:24Z,0,,0.1,0.2,0.1,0.1,0.1,0.1
actionnews3.com,unreliable,0.075,1,VL,FN,0.0,,10.4,2015-09-25T19:41:03Z,,,0.1,0.0,0.1,0.1,0.1,0.1
activistpost.com,conspiracy,0.095,2,L,CP,0.1,78283,15.9,2010-04-23T22:20:54Z,,,0.1,0.1,0.2,0.1,0.1,0.1
actualidadpanamericana.com,satire,0.27,1,,,,,12.2,2014-01-05T22:48:14Z,,,0.3,0.3,0.3,0.3,0.3,0.3
adamscountytimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:35Z,,,0.1,0.2,0.1,0.1,0.1,0.1
adareporter.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:35Z,,,0.1,0.2,0.1,0.1,0.1,0.1
addictinginfo.org,unreliable,0.188,1,,,,302578,15.5,2010-09-05T20:33:25.592Z,,,0.2,0.2,0.35,0.2,0.2,0.2
adflegal.org,unreliable,0.095,1,L,FN,0.1,87479,15.1,2011-01-11T16:27:08.232Z,,,0.1,0.1,0.2,0.1,0.1,0.1
adflegal.org/media,unreliable,0.135,1,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15
adobochronicles.com,satire,0.27,1,,,,,12.7,2013-06-25T20:40:31Z,,,0.3,0.3,0.3,0.3,0.3,0.3
advocate.com,mixed,0.18,1,,,,18403,31.6,1994-07-14T04:00:00Z,,,0.2,0.2,0.2,0.2,0.2,0.2
ae911truth.org,unreliable,0.118,1,M,CP,0.2,150880,19.4,2006-09-21T21:39:26.298Z,,,0.1,0.2,0.35,0.1,0.1,0.1
afa.net,unreliable,0.103,1,L,FN,0.1,128303,29.4,1996-10-06T04:00:00Z,,,0.1,0.1,0.35,0.1,0.1,0.1
aflegal.org,unreliable,0.103,1,L,FN,0.1,299263,5.1,2021-02-04T12:41:29.989Z,,,0.1,0.1,0.35,0.1,0.1,0.1
afn.net,unreliable,0.103,1,L,FN,0.1,425579,29.1,1997-01-18T05:00:00Z,0,,0.1,0.1,0.35,0.1,0.1,0.1
africanexponent.com,unreliable,0.118,1,M,FN,0.2,347729,10.7,2015-06-13T15:16:45Z,,,0.1,0.2,0.35,0.1,0.1,0.1
aguascalientesdailypost.com,unreliable,0.105,1,M,FN,0.2,,5.4,2020-10-08T21:27:38Z,0,,0.1,0.2,0.1,0.1,0.1,0.1
aheadoftheherd.com,mixed,0.18,1,,,,,19.5,2006-08-21T15:17:51Z,,,0.2,0.2,0.2,0.2,0.2,0.2
ahtribune.com,unreliable,0.103,1,,,,886088,10.5,2015-08-23T08:08:39Z,,,0.1,0.1,0.35,0.1,0.1,0.1
aim4truth.org,unreliable,0.075,1,VL,CP,0.0,,9.1,2017-02-01T20:32:52.172Z,,,0.1,0.0,0.1,0.1,0.1,0.1
akronreporter.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:41Z,,,0.1,0.2,0.1,0.1,0.1,0.1
albanystandard.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:25Z,,,0.1,0.2,0.1,0.1,0.1,0.1
albawaba.com,unreliable,0.11,1,M,FN,0.2,31884,26.8,1999-05-25T13:31:10Z,,,0.1,0.2,0.2,0.1,0.1,0.1
alexanderhiggins.com,unreliable,0.118,1,M,CP,0.2,931354,20.0,2006-03-11T04:20:32Z,,,0.1,0.2,0.35,0.1,0.1,0.1
allianceforadvancedhealth.com,unreliable,0.105,1,M,CP,0.2,,9.3,2016-11-03T21:30:55Z,,,0.1,0.2,0.1,0.1,0.1,0.1
allnewspipeline.com,unreliable,0.103,2,L,FN,0.1,527959,11.7,2014-07-07T22:12:15Z,,,0.1,0.1,0.35,0.1,0.1,0.1
alohastatenews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:37Z,,,0.1,0.2,0.1,0.1,0.1,0.1
alphanews.org,unreliable,0.103,1,L,FN,0.1,155745,7.2,2018-12-10T16:47:51.968Z,,,0.1,0.1,0.35,0.1,0.1,0.1
alphanewsmn.com,unreliable,0.09,1,L,FN,0.1,,11.0,2015-02-23T17:56:10Z,,,0.1,0.1,0.1,0.1,0.1,0.1
alt-market.com,conspiracy,0.103,1,,,,668023,15.2,2010-12-19T22:40:11Z,,,0.1,0.1,0.35,0.1,0.1,0.1
altermedzentrum.com,unreliable,0.075,1,VL,CP,0.0,,2.1,2024-01-22T03:25:37Z,,,0.1,0.0,0.1,0.1,0.1,0.1
alternativemediasyndicate.com,fake,0.045,1,,,,,12.1,2014-01-23T02:33:27Z,,,0.05,0.05,0.05,0.05,0.05,0.05
alternativenews.com,unreliable,0.103,1,L,CP,0.1,651859,29.2,1996-12-19T05:00:00Z,,,0.1,0.1,0.35,0.1,0.1,0.1
alternet.org,mixed,0.18,1,,,,12127,31.2,1994-12-07T05:00:00Z,,,0.2,0.2,0.2,0.2,0.2,0.2
althealthworks.com,unreliable,0.09,1,L,CP,0.1,,13.5,2012-08-14T04:08:12Z,,,0.1,0.1,0.1,0.1,0.1,0.1
altleft.news,unreliable,0.075,1,VL,CP,0.0,,8.5,2017-08-18T18:42:39.55Z,0,,0.1,0.0,0.1,0.1,0.1,0.1
altrighttv.com,unreliable,0.09,1,L,FN,0.1,,9.5,2016-08-27T23:08:56Z,,,0.1,0.1,0.1,0.1,0.1,0.1
america.cgtn.com,unreliable,0.105,1,M,FN,0.2,,23.3,2002-11-15T06:47:52Z,,,0.1,0.2,0.1,0.1,0.1,0.1
americablog.com,mixed,0.188,1,,,,246237,23.6,2002-08-01T07:55:57Z,,,0.2,0.2,0.35,0.2,0.2,0.2
americanactionnews.com,unreliable,0.105,1,M,FN,0.2,,12.6,2013-08-07T15:47:28Z,,,0.1,0.2,0.1,0.1,0.1,0.1
americanborderpatrol.com,unreliable,0.135,1,,,,,23.7,2002-06-03T22:59:09Z,,,0.15,0.15,0.15,0.15,0.15,0.15
americancatholictribune.com,unreliable,0.105,1,M,FN,0.2,,6.2,2019-12-23T15:57:23Z,,,0.1,0.2,0.1,0.1,0.1,0.1
americanconservativemovement.com,unreliable,0.09,1,L,FN,0.1,,9.7,2016-06-03T05:37:19Z,,,0.1,0.1,0.1,0.1,0.1,0.1
americandigitalnews.com,unreliable,0.105,1,M,CP,0.2,,8.8,2017-06-01T21:32:13Z,,,0.1,0.2,0.1,0.1,0.1,0.1
americanfreepress.net,conspiracy,0.103,2,L,CP,0.1,204038,24.6,2001-08-02T14:44:55Z,,,0.1,0.1,0.35,0.1,0.1,0.1
americangulag.org,unreliable,0.075,1,VL,FN,0.0,,4.5,2021-08-27T16:26:13.096Z,,,0.1,0.0,0.1,0.1,0.1,0.1
americanjournalreview.com,unreliable,0.09,1,L,FN,0.1,,10.4,2015-09-23T16:16:43Z,,,0.1,0.1,0.1,0.1,0.1,0.1
americankabuki.blogspot.com,unreliable,0.18,1,,,,,25.6,2000-07-31T21:38:58Z,,,0.2,0.2,0.2,0.2,0.2,0.2
americanlibertyemail.com,unreliable,0.09,1,L,FN,0.1,,8.0,2018-02-17T19:01:07Z,,,0.1,0.1,0.1,0.1,0.1,0.1
americanlookout.com,mixed,0.165,2,L,FN,0.1,,9.8,2016-05-10T18:05:45Z,,,0.2,0.1,0.2,0.2,0.2,0.2
americannews.com,fake,0.045,1,,,,,23.9,2002-03-22T04:59:24Z,,,0.05,0.05,0.05,0.05,0.05,0.05
americannewsx.com,mixed,0.18,1,,,,,11.5,2014-09-10T00:00:17Z,,,0.2,0.2,0.2,0.2,0.2,0.2
americanoverlook.com,fake,0.045,1,,,,,12.8,2013-05-03T14:04:38Z,,,0.05,0.05,0.05,0.05,0.05,0.05
americanpartisan.org,unreliable,0.103,1,L,FN,0.1,986986,7.9,2018-04-09T12:42:12.983Z,,,0.1,0.1,0.35,0.1,0.1,0.1
americanpatriotdaily.com,mixed,0.165,2,L,FN,0.1,,10.8,2015-06-01T18:39:28Z,,,0.2,0.1,0.2,0.2,0.2,0.2
americanpeopledaily.com,unreliable,0.09,1,L,FN,0.1,,8.2,2017-12-23T17:21:37Z,,,0.1,0.1,0.1,0.1,0.1,0.1
americanpharmacynews.com,unreliable,0.105,1,M,FN,0.2,,12.9,2013-04-25T01:54:07Z,,,0.1,0.2,0.1,0.1,0.1,0.1
americanpolicy.org,unreliable,0.09,1,L,CP,0.1,,28.8,1997-05-28T04:00:00.663Z,,,0.1,0.1,0.1,0.1,0.1,0.1
americanpoliticnews.co,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
americanpresident.co,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
americanprinciplesproject.org,unreliable,0.103,1,L,FN,0.1,938858,16.9,2009-03-30T15:27:59.573Z,,,0.1,0.1,0.35,0.1,0.1,0.1
americanprogress.org,mixed,0.18,1,,,,11079,23.1,2003-02-01T16:44:23.302Z,0,,0.2,0.2,0.2,0.2,0.2,0.2
americanreviewer.com,conspiracy,0.095,1,,,,,0.9,2025-04-19T12:19:34Z,,,0.1,0.1,0.1,0.2,0.1,0.1
americansecuritynews.com,unreliable,0.105,1,M,FN,0.2,,10.7,2015-06-05T19:25:20Z,,,0.1,0.2,0.1,0.1,0.1,0.1
americansfortruth.com,unreliable,0.075,1,VL,FN,0.0,,28.0,1998-02-17T05:00:00Z,,,0.1,0.0,0.1,0.1,0.1,0.1
americanthinker.com,mixed,0.263,2,L,FN,0.1,24231,22.9,2003-04-24T01:59:25Z,1,,0.2,0.1,0.2,0.2,0.85,0.2
americantoday.news,rumor,0.225,1,,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25
americantruthtoday.com,unreliable,0.09,1,L,FN,0.1,,7.1,2019-02-05T20:00:40Z,,,0.1,0.1,0.1,0.1,0.1,0.1
americaoutloud.com,unreliable,0.103,1,L,FN,0.1,643473,10.6,2015-08-03T23:26:07Z,,,0.1,0.1,0.35,0.1,0.1,0.1
americasfreedomfighters.com,mixed,0.165,2,L,FN,0.1,,12.2,2013-12-17T10:41:40Z,,,0.2,0.1,0.2,0.2,0.2,0.2
americasfrontlinedoctors.org,unreliable,0.103,1,L,CP,0.1,311683,5.6,2020-07-28T00:47:36.756Z,,,0.1,0.1,0.35,0.1,0.1,0.1
americasnewssource.com,unreliable,0.08,1,VL,FN,0.0,,0.7,2025-06-27T03:53:43Z,,,0.1,0.0,0.1,0.2,0.1,0.1
amestoday.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:10Z,,,0.1,0.2,0.1,0.1,0.1,0.1
amg-news.com,unreliable,0.088,1,VL,CP,0.0,254770,7.3,2018-11-10T11:15:40Z,,,0.1,0.0,0.35,0.1,0.1,0.1
amic.ru,unreliable,0.11,1,M,FN,0.2,32336,,,,,0.1,0.2,0.2,0.1,0.1,0.1
ammoland.com,mixed,0.18,1,,,,83037,19.9,2006-03-24T23:16:55Z,,,0.2,0.2,0.2,0.2,0.2,0.2
amoskeagtimes.com,unreliable,0.105,1,M,FN,0.2,,4.0,2022-02-15T19:23:08Z,,,0.1,0.2,0.1,0.1,0.1,0.1
amplifyingglass.com,unreliable,0.18,1,,,,,11.9,2014-04-03T06:46:12Z,,,0.2,0.2,0.2,0.2,0.2,0.2
amposts.com,fake,0.053,1,,,,,1.1,2025-02-11T19:05:39Z,,,0.05,0.05,0.05,0.2,0.05,0.05
amren.com,unreliable,0.137,2,L,FN,0.1,132527,30.6,1995-08-11T04:00:00Z,,,0.15,0.1,0.35,0.15,0.15,0.15
amtvmedia.com,rumor,0.203,2,L,CP,0.1,,14.1,2012-01-31T01:23:02Z,,,0.25,0.1,0.25,0.25,0.25,0.25
amusmentic.com,unreliable,0.18,1,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2
analyzingamerica.org,unreliable,0.105,1,M,FN,0.2,,7.4,2018-10-10T15:30:54.057Z,,,0.1,0.2,0.1,0.1,0.1,0.1
ancient-code.com,unreliable,0.188,2,M,CP,0.2,373127,13.2,2012-12-15T23:31:34Z,,,0.2,0.2,0.35,0.2,0.2,0.2
ancient-origins.net,unreliable,0.11,1,M,CP,0.2,22352,13.3,2012-11-16T19:39:21Z,,,0.1,0.2,0.2,0.1,0.1,0.1
andersoninstitute.com,unreliable,0.105,1,M,CP,0.2,,6.7,2019-07-03T18:47:42Z,,,0.1,0.2,0.1,0.1,0.1,0.1
andersonreporter.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:48Z,,,0.1,0.2,0.1,0.1,0.1,0.1
andmagazine.com,unreliable,0.105,1,M,CP,0.2,,16.4,2009-09-25T06:54:54Z,,,0.1,0.2,0.1,0.1,0.1,0.1
anews-24.com,unreliable,0.075,1,VL,FN,0.0,,4.4,2021-09-30T11:54:31Z,,,0.1,0.0,0.1,0.1,0.1,0.1
anews24.org/,fake,0.045,1,,,,,,,0,,0.05,0.05,0.05,0.05,0.05,0.05
anewspost.com,unreliable,0.105,1,M,CP,0.2,,6.7,2019-06-24T15:00:40Z,,,0.1,0.2,0.1,0.1,0.1,0.1
angrypatriotmovement.com,conspiracy,0.09,1,,,,,10.2,2015-12-30T18:22:39Z,,,0.1,0.1,0.1,0.1,0.1,0.1
anh-usa.org,unreliable,0.118,1,M,CP,0.2,300817,16.4,2009-10-15T17:53:02Z,,,0.1,0.2,0.35,0.1,0.1,0.1
anhinternational.org,unreliable,0.118,1,M,CP,0.2,643664,16.8,2009-04-30T17:35:37Z,,,0.1,0.2,0.35,0.1,0.1,0.1
annarbortimes.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:07Z,,,0.1,0.2,0.1,0.1,0.1,0.1
annearundeltoday.com,unreliable,0.105,1,M,FN,0.2,,7.9,2018-04-04T21:46:08Z,,,0.1,0.2,0.1,0.1,0.1,0.1
anokatimes.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:30Z,,,0.1,0.2,0.1,0.1,0.1,0.1
anonews.co,unreliable,0.105,2,M,FN,0.2,,,,,,0.1,0.2,0.1,0.1,0.1,0.1
anonhq.com,unreliable,0.088,2,VL,CP,0.0,512834,11.9,2014-04-11T03:58:14Z,,,0.1,0.0,0.35,0.1,0.1,0.1
anonjekloy.tk,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
anonnews.co,unreliable,0.09,1,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
anonymouswire.com,unreliable,0.09,1,L,FN,0.1,,4.1,2022-01-12T12:50:46Z,,,0.1,0.1,0.1,0.1,0.1,0.1
anotherdayintheempire.com,mixed,0.18,1,,,,,9.6,2016-08-02T03:20:26Z,,,0.2,0.2,0.2,0.2,0.2,0.2
antelopevalleytoday.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:39Z,,,0.1,0.2,0.1,0.1,0.1,0.1
antiwar.com,mixed,0.278,1,,,,33659,30.2,1995-12-09T05:00:00Z,1,,0.2,0.2,0.2,0.2,0.85,0.2
antoniusaquinas.wp.com,mixed,0.18,1,,,,,28.9,1997-03-28T05:00:00Z,,,0.2,0.2,0.2,0.2,0.2,0.2
anyavien.com,unreliable,0.075,1,VL,CP,0.0,,9.7,2016-06-13T17:49:35Z,,,0.1,0.0,0.1,0.1,0.1,0.1
arabnews.com,unreliable,0.105,1,M,FN,0.2,9751,30.0,1996-02-26T05:00:00Z,,,0.1,0.2,0.1,0.1,0.1,0.1
archaeology-world.com,unreliable,0.105,1,M,FN,0.2,,7.2,2018-12-30T09:27:30Z,,,0.1,0.2,0.1,0.1,0.1,0.1
arizonaindependent.com,unreliable,0.105,1,M,FN,0.2,,5.8,2020-05-14T18:21:55Z,,,0.1,0.2,0.1,0.1,0.1,0.1
arizonasuntimes.com,unreliable,0.105,1,M,FN,0.2,,4.9,2021-04-09T15:30:19Z,,,0.1,0.2,0.1,0.1,0.1,0.1
aryannationswordwide1488.org,unreliable,0.135,1,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15
ashevillereporter.com,unreliable,0.12,1,M,,0.3,,6.7,2019-06-30T20:46:03Z,,,0.1,0.3,0.1,0.1,0.1,0.1
asia-pacificresearch.com,unreliable,0.105,2,M,CP,0.2,,10.8,2015-04-29T15:19:57Z,,,0.1,0.2,0.1,0.1,0.1,0.1
askingangels.com,unreliable,0.075,1,VL,CP,0.0,,13.5,2012-08-17T07:33:40Z,,,0.1,0.0,0.1,0.1,0.1,0.1
assassinationscience.com,conspiracy,0.09,2,L,CP,0.1,,28.1,1998-01-21T05:00:00Z,,,0.1,0.1,0.1,0.1,0.1,0.1
associatedmediacoverage.com,satire,0.27,1,,,,,10.0,2016-02-19T02:06:25Z,,,0.3,0.3,0.3,0.3,0.3,0.3
athensreporter.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:44Z,,,0.1,0.2,0.1,0.1,0.1,0.1
atlanticcotimes.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:10Z,,,0.1,0.2,0.1,0.1,0.1,0.1
atlstandard.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:45Z,,,0.1,0.2,0.1,0.1,0.1,0.1
attn.com,mixed,0.188,1,,,,211525,24.3,2001-11-14T19:06:12Z,,,0.2,0.2,0.35,0.2,0.2,0.2
auburntimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:42Z,,,0.1,0.2,0.1,0.1,0.1,0.1
augustarichmondherald.com,unreliable,0.105,1,M,FN,0.2,,4.1,2022-02-07T16:55:18Z,,,0.1,0.2,0.1,0.1,0.1,0.1
aurora-news.us,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
australiannationalreview.com,unreliable,0.103,1,L,CP,0.1,739287,11.4,2014-10-01T23:52:01Z,,,0.1,0.1,0.35,0.1,0.1,0.1
australiaoneparty.com,unreliable,0.09,1,L,FN,0.1,,6.5,2019-09-10T02:48:53Z,,,0.1,0.1,0.1,0.1,0.1,0.1
autismspeaks.org,unreliable,0.125,1,MF,CP,0.3,17902,21.2,2004-12-14T22:16:13.547Z,,,0.1,0.3,0.2,0.1,0.1,0.1
automaticearth.com,unreliable,0.09,1,,,,,15.2,2010-12-31T19:23:59Z,,,0.1,0.1,0.1,0.1,0.1,0.1
automotostar.com,unreliable,0.18,1,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2
avoiceformen.com,unreliable,0.103,1,L,FN,0.1,602001,16.6,2009-07-22T00:53:16Z,,,0.1,0.1,0.35,0.1,0.1,0.1
awarenessact.com,conspiracy,0.103,2,L,CP,0.1,676599,13.5,2012-08-15T14:20:09Z,,,0.1,0.1,0.35,0.1,0.1,0.1
awazetribune.com,satire,0.27,1,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3
awdnews.com,conspiracy,0.09,1,,,,,14.1,2012-01-16T03:10:00Z,,,0.1,0.1,0.1,0.1,0.1,0.1
awm.com,unreliable,0.105,2,M,FN,0.2,,30.5,1995-08-31T04:00:00Z,,,0.1,0.2,0.1,0.1,0.1,0.1
azcatholictribune.com,unreliable,0.105,1,M,FN,0.2,,5.9,2020-03-30T17:39:20Z,,,0.1,0.2,0.1,0.1,0.1,0.1
baldwintimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:32Z,,,0.1,0.2,0.1,0.1,0.1,0.1
baltimorecitywire.com,unreliable,0.105,1,M,FN,0.2,,7.9,2018-04-04T21:46:07Z,,,0.1,0.2,0.1,0.1,0.1,0.1
banned.video,unreliable,0.088,1,VL,CP,0.0,106775,6.7,2019-07-04T02:21:05.093Z,,,0.1,0.0,0.35,0.1,0.1,0.1
bannedbook.org,unreliable,0.118,1,M,FN,0.2,172041,14.7,2011-06-12T04:09:19.551Z,,,0.1,0.2,0.35,0.1,0.1,0.1
baptistnews.com,mixed,0.18,1,,,,86717,22.6,2003-07-19T18:06:29Z,,,0.2,0.2,0.2,0.2,0.2,0.2
barenakedislam.com,unreliable,0.137,2,L,FN,0.1,427664,17.6,2008-07-09T06:05:05Z,,,0.15,0.1,0.35,0.15,0.15,0.15
barnesreview.org,unreliable,0.135,1,,,,,28.9,1997-04-25T04:00:00Z,,,0.15,0.15,0.15,0.15,0.15,0.15
basnews.com,unreliable,0.118,1,M,FN,0.2,151776,14.9,2011-04-26T18:24:21Z,,,0.1,0.2,0.35,0.1,0.1,0.1
batonrougereporter.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:49Z,,,0.1,0.2,0.1,0.1,0.1,0.1
battlecreektimes.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:19Z,,,0.1,0.2,0.1,0.1,0.1,0.1
baystatenews.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:27Z,,,0.1,0.2,0.1,0.1,0.1,0.1
bb4sp.com,conspiracy,0.09,2,L,FN,0.1,,11.0,2015-03-15T14:25:14Z,,,0.1,0.1,0.1,0.1,0.1,0.1
bdnews24.com,unreliable,0.223,1,M,FN,0.2,16430,21.5,2004-08-28T04:23:26Z,1,,0.1,0.2,0.2,0.1,0.85,0.1
beachbroadcastnews.com,unreliable,0.075,1,VL,FN,0.0,,5.0,2021-02-28T06:34:21Z,,,0.1,0.0,0.1,0.1,0.1,0.1
beantowntimes.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:23Z,,,0.1,0.2,0.1,0.1,0.1,0.1
beaverstatenews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:45Z,,,0.1,0.2,0.1,0.1,0.1,0.1
beckernews.com,unreliable,0.103,1,L,FN,0.1,738563,5.2,2020-12-05T21:10:50Z,,,0.1,0.1,0.35,0.1,0.1,0.1
beehivebugle.com,satire,0.27,1,,,,,12.7,2013-06-25T03:01:21Z,,,0.3,0.3,0.3,0.3,0.3,0.3
beforeitsnews.com,fake,0.06,2,L,FN,0.1,20133,18.5,2007-09-15T06:00:25Z,,,0.05,0.1,0.2,0.05,0.05,0.05
beholdisrael.org,unreliable,0.118,1,M,CP,0.2,850059,12.3,2013-10-30T20:43:00.327Z,,,0.1,0.2,0.35,0.1,0.1,0.1
bentontimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:32Z,,,0.1,0.2,0.1,0.1,0.1,0.1
bestnewshere.com,unreliable,0.075,1,VL,CP,0.0,,8.1,2018-02-07T10:11:42Z,,,0.1,0.0,0.1,0.1,0.1,0.1
betootaadvocate.com,satire,0.273,1,,,,300567,11.4,2014-10-02T07:17:29Z,,,0.3,0.3,0.35,0.3,0.3,0.3
